correct_flag,soc_count,cpu_count
1,000406A7,00030324
1,001C0584,001500B0
1,0033B2ED,0026C3C1
1,001BF156,0014F1F5
1,0000A93D,00007E24
1,0022AAD0,0019FE78
1,000AD5F1,00081E1B
1,001C6478,001545CB
1,00023DF5,0001AC90
1,000777A9,00059748
1,000E512B,000ABBDF
1,000645BA,0004B26D
1,000918BC,0006D005
1,00238E9F,001AA8D5
1,00356137,0028065A
1,007675A8,0058D659
1,001AC4AF,00141173
1,0059D7A9,004360BA
1,001213A5,000D8C24
1,002CC6D4,00219308
